TF,Total genes regulados,Total genes activados,Total genes reprimidos,Total genes duales,Tipo de regulacion,Genes regulados
ppGpp,308,194,112,2,Dual,"['hisM', 'agp', 'cysQ', 'argI', 'argS', 'argT', 'aroM', 'bolA', 'cadA', 'crp', 'cspA', 'dacC', 'dksA', 'dnaA', 'dnaN', 'fadL', 'fimB', 'fis', 'frr', 'ftsA', 'ftsQ', 'ftsZ', 'gabT', 'ggt', 'mnmG', 'rsmG', 'glgA', 'glgC', 'glgP', 'hisP', 'hmp', 'hns', 'ilvA', 'ilvB', 'ilvD', 'ilvE', 'ilvH', 'ilvI', 'ilvM', 'ilvN', 'infA', 'katE', 'rpoS', 'leuO', 'livJ', 'lrp', 'lysS', 'mazE', 'mazG', 'osmB', 'osmC', 'pcnB', 'phr', 'pnp', 'poxB', 'prfB', 'priB', 'pth', 'pyrB', 'pyrI', 'queA', 'recF', 'relA', 'rnpA', 'rplI', 'rpmE', 'rpmH', 'rpsB', 'rpsF', 'rpsO', 'rpsR', 'speC', 'tgt', 'thrA', 'thrB', 'thrC', 'tpr', 'treA', 'trxA', 'tsf', 'tufB', 'yaiA', 'yajC', 'ybaA', 'ybgA', 'cspD', 'rluC', 'yhhA', 'mioC', 'argH', 'leuA', 'uspE', 'mazF', 'iraP', 'ilvL', 'ivbL', 'thrL', 'pyrL', 'leuL', 'yghA', 'dusB', 'acnA', 'gabD', 'gabP', 'msyB', 'gluQ', 'folK', 'sufA', 'glgS', 'uspA', 'osmY', 'hdeA', 'hdeB', 'yhiD', 'ychF', 'dps', 'csrA', 'gadB', 'qorA', 'hdeD', 'sra', 'ycgB', 'fadD', 'cfa', 'ychH', 'wrbA', 'gadE', 'thiQ', 'thiP', 'thiB', 'leuD', 'leuC', 'leuB', 'otsA', 'otsB', 'setA', 'talA', 'yebF', 'aidB', 'yiiS', 'uspD', 'rpoE', 'yjbJ', 'yehE', 'yehW', 'yehX', 'yehY', 'osmF', 'yohC', 'yojI', 'sgrR', 'efp', 'tktB', 'prfC', 'rssB', 'hisJ', 'hisQ', 'narU', 'cbpA', 'cbpM', 'uspB', 'dtpB', 'mdtE', 'mdtF', 'gadX', 'treF', 'rseA', 'lhgD', 'yiaG', 'grxB', 'yccJ', 'ybeL', 'alaT', 'alaU', 'alaV', 'argX', 'glnU', 'glnV', 'glnW', 'glnX', 'gltT', 'gltU', 'gltV', 'gltW', 'glyT', 'hisR', 'ileT', 'ileU', 'ileV', 'leuT', 'leuV', 'leuW', 'leuX', 'metT', 'metU', 'metV', 'metZ', 'proM', 'rrfA', 'rrfB', 'rrfC', 'rrfD', 'rrfE', 'rrfG', 'rrfH', 'rrlA', 'rrlB', 'rrlC', 'rrlD', 'rrlE', 'rrlG', 'rrlH', 'rrsA', 'rrsB', 'rrsC', 'rrsD', 'rrsE', 'rrsG', 'rrsH', 'rrfF', 'serW', 'thrT', 'thrU', 'thrV', 'tyrT', 'tyrU', 'tyrV', 'metW', 'rmf', 'gadA', 'sgrT', 'ilvX', 'gadF', 'idlP', 'ytiC', 'ytiD', 'csrB', 'csrC', 'tff', 'isrC', 'sroA', 'sroD', 'ecnB', 'sgrS', 'yahO', 'yajO', 'glsA', 'ybaT', 'ybdK', 'ybgS', 'ybhN', 'clsB', 'ybhP', 'ybjP', 'ftsK', 'ycaP', 'csgI', 'yccU', 'csgG', 'csgF', 'csgE', 'csgD', 'ariR', 'ydcK', 'ydcL', 'curA', 'adhP', 'gadC', 'tam', 'ynfD', 'sodC', 'ldtE', 'sufE', 'sufS', 'sufD', 'sufC', 'sufB', 'yniA', 'yeaG', 'yeaH', 'yeaQ', 'yoaC', 'yebV', 'uspC', 'yedP', 'hchA', 'flu', 'yegP', 'fbaB', 'elaB', 'yfcZ', 'rseC', 'rseB', 'glaH', 'kbp', 'yqaE', 'dkgA', 'patA', 'yqjF', 'yhbO', 'yhcO', 'fkpA', 'ysgA', 'blc', 'yjfY', 'yjgH', 'iraD', 'ilvG']"
AcnB,1,1,0,0,Activator,['acnB']
DicF,4,0,4,0,Repressor,"['ftsZ', 'manX', 'pykA', 'xylR']"
DsrA,10,1,9,0,Dual,"['hns', 'rpoS', 'lrp', 'rbsA', 'rbsB', 'rbsC', 'rbsD', 'rbsK', 'rbsR', 'rbsZ']"
DeaD,1,1,0,0,Activator,['ldtD']
Hfq,6,1,5,0,Dual,"['manX', 'hpf', 'ptsN', 'cirA', 'mutS', 'oppA']"
Pnp,1,0,1,0,Repressor,['pnp']
RplA,6,0,6,0,Repressor,"['rplA', 'rplJ', 'rplK', 'rplL', 'rpoB', 'rpoC']"
RplD,1,0,1,0,Repressor,['tnaA']
RplM,2,0,2,0,Repressor,"['rplM', 'rpsI']"
