Index,Regulador,Gen regulado,Efecto,Error
4708,Rob,lpxC,,Efecto faltante
4999,Fur,mcbA,,Efecto faltante
5005,Fur,ycgZ,,Efecto faltante
5692,IHF,patA,,Efecto faltante
6279,NagC,feoA,,Efecto faltante
6280,NagC,feoB,,Efecto faltante
6283,NagC,feoC,,Efecto faltante
6291,NagC,eutA,,Efecto faltante
6292,NagC,eutH,,Efecto faltante
6293,NagC,eutG,,Efecto faltante
6294,NagC,eutJ,,Efecto faltante
6295,NagC,eutE,,Efecto faltante
6296,NagC,eutN,,Efecto faltante
6297,NagC,eutM,,Efecto faltante
6298,NagC,eutD,,Efecto faltante
6299,NagC,eutT,,Efecto faltante
6300,NagC,eutQ,,Efecto faltante
6301,NagC,eutP,,Efecto faltante
6302,NagC,eutS,,Efecto faltante
6856,Fis,patA,,Efecto faltante
